	Dog_1	Dog_2	Dog_3	Dog_4	Dog_5	Patient_1	Patient_2	all
SVC_dirtycsp_xcorr-twidth	0.550324767562	0.789943541686	0.671032813935	0.694427236013	0.774010125828	0.722704213985	0.587038567493	0.721099997911
SVC_dirtycsp_pib_ratioBB	0.684772339876	0.877865474554	0.760083519858	0.767855106661	0.841229245775	0.839105074605	0.562124655647	0.796436719516
SVC_dirtycsp_corrcoefeig	0.451214359504	0.760840158777	0.516377998737	0.514615655434	0.826428132678	0.85834673923	0.489696969697	0.669725347891
SVC_dirtycsp_lmom-4	0.53271293905	0.790422214155	0.608897368572	0.682395854852	0.70407908942	0.488189450385	0.372820247934	0.681397438502
SVC_dirtycsp_act	0.483924328512	0.865867233638	0.662193669651	0.722995775862	0.799704787432	0.769238812307	0.675130853994	0.743876741434
SVC_dirtycsp_var	0.575996771694	0.85526738202	0.681304034665	0.626088614608	0.917838675452	0.499875924151	0.509814049587	0.737949146574
SVC_dirtycsp_xcorr-tpeak	0.49179803719	0.656595931236	0.644499698691	0.650895309572	0.533943768148	0.77794521387	0.544156336088	0.641266329339
SVC_dirtycsp_FFTcorrcoefeig	0.528012009298	0.66526616434	0.599912190083	0.561260022772	0.579940343236	0.566782831085	0.393719008264	0.641913499965
SVC_dirtycsp_lmom-2	0.599060304752	0.874116527063	0.72787630567	0.625223808749	0.935630630631	0.673139027401	0.576566804408	0.761564693811
SVC_dirtycsp_pwling4	0.561920325413	0.787119211949	0.623820649679	0.643650247078	0.81557832626	0.652247146481	0.541329201102	0.691445582524
SVC_dirtycsp_xcorr-ypeak	0.533553073347	0.879169439391	0.750560649105	0.6762138293	0.862723549996	0.809052823135	0.517348484848	0.761925768275
SVC_dirtycsp_PSDlogfcorrcoefeig	0.453870867769	0.561414916229	0.632984360652	0.611109828307	0.630865441888	0.685006022895	0.356880165289	0.633412219555
SVC_dirtycsp_pib	0.656056947314	0.866059688919	0.78769556359	0.731691237768	0.934094911027	0.672400877433	0.551105371901	0.801924335903
SVC_dirtycsp_FFTcorrcoef	0.546828770661	0.744606173616	0.679007575758	0.705326492272	0.61283774477	0.674722289277	0.552472451791	0.713263075242
SVC_dirtycsp_lmom-1	0.443824121901	0.676293580186	0.558898645546	0.539214424313	0.606907434294	0.453368497915	0.481621900826	0.625504657457
SVC_dirtycsp_pwling1	0.47057928719	0.744646155639	0.613729396235	0.604431789808	0.614125902762	0.425835669232	0.315919421488	0.625538280478
SVC_dirtycsp_lmom-3	0.537427556818	0.769481470067	0.601067191804	0.697668369084	0.665350215918	0.45092428626	0.501284435262	0.672153528393
SVC_dirtycsp_PSDlogfcorrcoef	0.568060304752	0.74294193954	0.688717099977	0.68393676615	0.931028125233	0.667798061264	0.340661157025	0.738667659915
SVC_dirtycsp_lmom-5	0.581219524793	0.713194180031	0.641203526745	0.674147703371	0.629800089346	0.427047829476	0.294104683196	0.655209138248
SVC_dirtycsp_PSDcorrcoef	0.637566244835	0.782453076416	0.682340579086	0.722222584115	0.84771470851	0.808781552646	0.548536501377	0.743039583901
SVC_dirtycsp_lmom-6	0.562640883264	0.751052548701	0.582909277433	0.691524930293	0.667903637108	0.34928822647	0.349965564738	0.661732104077
SVC_dirtycsp_corrcoef	0.454351110537	0.901008862634	0.730862632002	0.66687275517	0.892192688556	0.255547233792	0.362520661157	0.756693877241
SVC_dirtycsp_PSDcorrcoefeig	0.483358341942	0.580153807941	0.611156006084	0.68136026204	0.495587912292	0.631290412848	0.508663911846	0.658410622332
